,Rank,,State,Per capita income,Median household income,Median family income,Population,Number of households ,Number of families
,0,DC,District of Columbia,"$45,877","$71,648","$84,094","658,893","277,378","117,864"
,1,CT,Connecticut,"$39,373","$70,048","$88,819","3,596,677","1,355,817","887,263"
,2,MA,Massachusetts,"$37,288","$69,160","$87,951","6,745,408","2,549,336","1,610,581"
,3,NJ,New Jersey,"$36,593","$71,919","$88,419","8,938,175","3,194,844","2,203,675"
,4,MD,Maryland,"$36,338","$73,971","$89,678","5,976,407","2,165,438","1,445,972"
,5,NH,New Hampshire,"$34,691","$66,532","$80,581","1,326,813","519,756","345,901"
,6,VA,Virginia,"$34,052","$64,902","$78,290","8,326,289","3,083,820","2,058,820"
,7,NY,New York,"$33,095","$58,878","$71,115","19,746,227","7,282,398","4,621,954"
,8,ND,North Dakota,"$33,071","$59,029","$75,221","739,482","305,431","187,800"
,9,AK,Alaska,"$33,062","$71,583","$82,307","736,732","249,659","165,015"
,10,MN,Minnesota,"$32,638","$61,481","$77,941","5,457,173","2,129,195","1,369,594"
,11,CO,Colorado,"$32,357","$61,303","$75,405","5,355,866","2,039,592","1,315,283"
,12,WA,Washington,"$31,841","$61,366","$74,193","7,061,530","2,679,601","1,725,099"
,13,RI,Rhode Island,"$30,830","$54,891","$71,212","1,055,173","409,654","257,165"
,14,DE,Delaware,"$30,488","$59,716","$72,594","935,614","349,743","233,000"
,15,CA,California,"$30,441","$61,933","$71,015","38,802,500","12,758,648","8,762,059"
,16,IL,Illinois,"$30,417","$57,444","$71,796","12,880,580","4,772,421","3,099,184"
,17,HI,Hawaii,"$29,736","$69,592","$79,187","1,419,561","450,769","314,151"
,18,WY,Wyoming,"$29,698","$57,055","$72,460","584,153","232,594","149,032"
,19,PA,Pennsylvania,"$29,220","$53,234","$67,876","12,787,209","4,945,972","3,185,054"
,20,VT,Vermont,"$29,178","$54,166","$67,154","626,562","257,229","162,017"
,21,IA,Iowa,"$28,361","$53,712","$67,771","3,107,126","1,241,471","801,562"
,22,WI,Wisconsin,"$28,213","$52,622","$67,187","5,757,564","2,307,685","1,485,877"
,23,ME,Maine,"$27,978","$49,462","$62,078","1,330,089","549,841","344,585"
,24,KS,Kansas,"$27,870","$52,504","$66,425","2,904,021","1,109,280","728,602"
,25,OR,Oregon,"$27,646","$51,075","$62,670","3,970,239","1,535,511","966,250"
,26,NE,Nebraska,"$27,446","$52,686","$66,120","1,881,503","740,765","480,317"
,27,TX,Texas,"$27,125","$53,035","$62,830","26,956,958","9,277,197","6,407,165"
,28,SD,South Dakota,"$26,959","$50,979","$66,936","853,175","334,475","211,235"
,29,OH,Ohio,"$26,937","$49,308","$62,300","11,594,163","4,593,172","2,923,523"
,30,MI,Michigan,"$26,613","$49,847","$62,143","9,909,877","3,834,574","2,485,159"
,31,FL,Florida,"$26,582","$47,463","$57,212","19,893,297","7,328,046","4,693,411"
,32,MO,Missouri,"$26,126","$48,363","$61,299","6,063,589","2,354,809","1,508,816"
,33,MT,Montana,"$25,989","$46,328","$60,643","1,023,579","410,962","251,176"
,34,NC,North Carolina,"$25,774","$46,556","$57,380","9,943,964","3,790,620","2,492,048"
,35,NV,Nevada,"$25,773","$51,450","$60,824","2,839,099","1,021,519","642,461"
,36,AZ,Arizona,"$25,715","$50,068","$59,700","6,731,484","2,428,743","1,579,481"
,37,GA,Georgia,"$25,615","$49,321","$58,885","10,097,343","3,587,521","2,426,392"
,38,OK,Oklahoma,"$25,229","$47,529","$58,710","3,878,051","1,459,759","966,516"
,39,IN,Indiana,"$25,140","$49,446","$60,780","6,596,855","2,502,739","1,657,223"
,40,TN,Tennessee,"$24,922","$44,361","$55,557","6,549,352","2,509,665","1,660,344"
,41,UT,Utah,"$24,877","$60,922","$69,535","2,942,902","918,370","691,495"
,42,LA,Louisiana,"$24,800","$44,555","$56,573","4,649,676","1,718,194","1,112,659"
,43,SC,South Carolina,"$24,596","$45,238","$56,491","4,832,482","1,826,914","1,201,616"
,44,ID,Idaho,"$23,938","$47,861","$58,101","1,634,464","591,587","407,499"
,45,KY,Kentucky,"$23,684","$42,958","$54,776","4,413,457","1,712,094","1,124,586"
,46,NM,New Mexico,"$23,683","$44,803","$54,705","2,085,572","760,916","489,532"
,47,AL,Alabama,"$23,606","$42,830","$53,764","4,849,377","1,841,217","1,232,515"
,48,AR,Arkansas,"$22,883","$41,262","$51,528","2,966,369","1,131,288","752,212"
,49,WV,West Virginia,"$22,714","$41,059","$52,413","1,850,326","735,375","472,869"
,50,MS,Mississippi,"$21,036","$39,680","$50,178","2,994,079","1,095,823","738,463"